title,company,location
Werkstudent Digitales Lernen (m/w/d),BAUHAUS,Mannheim
Werkstudent Personalmarketing (m/w/d),BAUHAUS,Mannheim
Werkstudent:in Informationssicherheit (m/w/d),EDEKA IT Stiftung & Co. OHG,Mannheim
Werkstudent (m/w/d) Kontraktlogistik,DACHSER SE,Malsch
"Werkstudent (m/w/d) Datenmanagement, Teilzeit für 20 Stunden/Woche",SAINT-GOBAIN ISOVER G+H AG,Ladenburg
Werkstudent (m/f/d) Warehouse,CHG-MERIDIAN,Groß-Gerau
Werkstudent AFM-Messung und -Auswertung (m/w/x),ZEISS,Rossdorf
Werkstudent:in Projektdaten & Softwareadministration (m/w/d),GOLDBECK SOLAR GmbH,Hirschberg a.d. Bergstrasse
Werkstudent (w/m/d) Marktkommunikation,COUNT+CARE GmbH & Co. KG,Darmstadt bei Frankfurt am Main
Werkstudent SAP Beratung (m/w/d),io-consultants GmbH & Co. KG,"Leonberg, Würzburg, Heidelberg"
Werkstudent im Projekt STEP (m/w/d),MVV Energie AG,Mannheim
Werkstudent:in (m/w/d) Projekte & Organisation,10 k Beratung GmbH,Speyer
Werkstudent Kundenberatung ÖPNV (m/w/d),HEAG mobilo GmbH,Darmstadt
Werkstudent Vileda Customer Service (w/m/d),FHP Export GmbH,Weinheim
Werkstudent (m/w/d) HR-Zeitwirtschaft & Prozessoptimierung,Aliaxis Deutschland GmbH,Mannheim
Werkstudent Social Media Management (m/w/d),INKA Medialine GmbH Medienagentur,Bensheim
Pflichtpraktikant / Werkstudent im Bereich Employer Branding & Personalmarketing (w/m/d),Freudenberg Group,Weinheim
Werkstudent Repair Software Application Engineering (m/w/x),ZEISS,Rossdorf
Werkstudent:in im Bereich Kundenservice & Betrieb (m/w/d),Bürgerwerke eG,Heidelberg
Werkstudent Personaleinsatzplanung / Audit & Assurance (m/w/d),Deloitte,"Berlin, Düsseldorf, Frankfurt (Main), Köln, Leipzig, Mannheim, Hamburg, Hannover, München, Nürnberg"
Werkstudent / Praktikant (m/w/d) Bau- und Projektleitung schlüsselfertiger Hochbau,GOLDBECK Südwest GmbH,Mannheim / Hirschberg an der Bergstraße
Werkstudent (m/w/d) Schwerpunkt Nachhaltigkeit/Gesamtbanksteuerung,Vereinigte VR Bank Kur- und Rheinpfalz eG,Speyer
Werkstudent Online Marketing (m/w/d),io-consultants GmbH & Co. KG,Heidelberg
Werkstudent / Praktikant (m/w/d) Projektmanagement Solar und Energy,GOLDBECK Facility Services GmbH,Mannheim / Hirschberg an der Bergstrasse
Werkstudent (Mensch) im Marketing,Heidelberg Instruments Mikrotechnik GmbH,Heidelberg
Werkstudent (m/w/d) Administration & Sales,FERCHAU – Connecting People and Technologies,Mannheim
Praktikant/Werkstudent (w/m/d) Projektmanagement Hochbau,Drees & Sommer SE,Mannheim
Werkstudent (w/m/d) im Bereich Recruiting am Standort Mannheim,Daimler Buses GmbH,Mannheim
Werkstudent/in HR-Kommunikation & Change (m/w/d),BAUHAUS,Mannheim
Werkstudent Application Engineering Processes (m/w/x),ZEISS,Rossdorf
Werkstudent (w/m/d) Office Management,Drees & Sommer SE,Mannheim
Praktikant*in / Werkstudent*in im Digitalen Marketing (m/w/d),HÄNSSLER Kunststoff- und Dichtungstechnik GmbH,Mannheim
